show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,language,imdb_score,imdb_votes,total_watch_hours_millions,monthly_active_viewers_thousands,countries_available,seasons_or_episodes,avg_episode_duration_min,year_added,month_added,quarter_added,viewer_retention_score,combined_features,recommended_next_watch,retention_campaign_segment
s1,TV Show,Stranger Things,"Matt Duffer, Ross Duffer","Millie Bobby Brown, Finn Wolfhard, Winona Ryder",USA,"August 16, 2016",2016,PG,4 Seasons,Sci-Fi & Fantasy,English,8.7,1554492,36.63,632,85,24,58,2016,8,Q3,57.95886075949367,Sci-Fi & Fantasy TV Show English,The Witcher|The Umbrella Academy|Invincible,Tier 2: Steady (Send In-App Reminder & Recommendation)
s2,TV Show,The Crown,Peter Morgan,"Claire Foy, Olivia Colman, Imelda Staunton",UK,"July 28, 2016",2016,G,6 Seasons,Drama,English,8.6,206493,72.91,1970,57,70,37,2016,7,Q3,37.01015228426396,Drama TV Show English,Cobra Kai|Inventing Anna|The Last Kingdom,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s3,TV Show,Money Heist,Álex Pina,"Álvaro Morte, Itziar Ituño, Úrsula Corberó",Spain,"March 24, 2018",2017,TV-MA,5 Seasons,Crime,German,8.2,889796,74.23,1456,189,37,51,2017,3,Q1,50.982142857142854,Crime TV Show German,The Crime of the Century|Glitch|Ozark,Tier 2: Steady (Send In-App Reminder & Recommendation)
s4,TV Show,Ozark,Bill Dubuque,"Jason Bateman, Laura Linney",USA,"March 28, 2018",2017,TV-PG,4 Seasons,Crime,English,8.4,1601334,36.99,698,51,38,53,2017,3,Q1,52.99426934097421,Crime TV Show English,Mindhunter|Narcos|Ozark S4,Tier 2: Steady (Send In-App Reminder & Recommendation)
s5,TV Show,The Witcher,Lauren Schmidt Hissrich,"Henry Cavill, Freya Allan",USA,"November 23, 2019",2019,PG,3 Seasons,Sci-Fi & Fantasy,English,8.2,224350,36.96,821,136,31,45,2019,11,Q4,45.01827040194884,Sci-Fi & Fantasy TV Show English,The Witcher|The Umbrella Academy|Invincible,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s6,TV Show,Bridgerton,Chris Van Dusen,"Phoebe Dynevor, Regé-Jean Page",UK,"July 08, 2020",2020,PG-13,3 Seasons,Romance,English,7.3,1702670,46.28,1218,117,30,38,2020,7,Q3,37.99671592775041,Romance TV Show English,Virgin River|The Kissing Booth|To All the Boys I've Loved Before,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s7,TV Show,Squid Game,Hwang Dong-hyuk,"Lee Jung-jae, Park Hae-soo",South Korea,"March 30, 2021",2021,TV-14,2 Seasons,Drama,French,8.0,1749387,66.67,1361,125,23,49,2021,3,Q1,48.9860396767083,Drama TV Show French,Connected|The Crown|Cobra Kai,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s8,TV Show,Emily in Paris,Darren Star,"Lily Collins, Philippine Leroy-Beaulieu",France/USA,"January 10, 2022",2020,G,4 Seasons,Comedy,English,6.9,1631241,86.03,2098,108,42,41,2020,1,Q1,41.005719733079125,Comedy TV Show English,Never Have I Ever|Wednesday|Sex Education,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s9,TV Show,You,"Greg Berlanti, Sera Gamble","Penn Badgley, Elizabeth Lail",USA,"August 16, 2019",2018,TV-14,4 Seasons,Thriller,English,7.7,960870,104.65,2492,121,26,42,2018,8,Q3,41.99438202247191,Thriller TV Show English,Bird Box|Jessica Jones|Dogs of Berlin,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s10,TV Show,Never Have I Ever,Mindy Kaling,Maitreyi Ramakrishnan,USA,"January 17, 2022",2020,R,4 Seasons,Comedy,English,7.9,1481823,45.86,997,118,29,46,2020,1,Q1,45.99799398194584,Comedy TV Show English,Never Have I Ever|Wednesday|Sex Education,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s11,TV Show,The Umbrella Academy,Steve Blackman,"Elliot Page, Tom Hopper",Canada,"May 27, 2019",2019,PG,3 Seasons,Sci-Fi & Fantasy,English,7.9,805775,88.85,1709,168,23,52,2019,5,Q2,51.989467524868346,Sci-Fi & Fantasy TV Show English,The Witcher|The Umbrella Academy|Invincible,Tier 2: Steady (Send In-App Reminder & Recommendation)
s12,TV Show,Lupine,George Kay,Omar Sy,France,"July 07, 2022",2021,TV-PG,3 Seasons,Crime,Spanish,7.5,1733444,83.73,1994,108,35,42,2021,7,Q3,41.99097291875627,Crime TV Show Spanish,Ozark|Mindhunter|Narcos,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s13,TV Show,Mindhunter,David Fincher,"Jonathan Groff, Holt McCallany",USA,"March 07, 2017",2017,G,2 Seasons,Crime,English,8.6,1924985,51.13,1136,104,24,45,2017,3,Q1,45.00880281690141,Crime TV Show English,Mindhunter|Narcos|Ozark S4,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s14,TV Show,Dark,Baran bo Odar,"Louis Hofmann, Karoline Eichhorn",Germany,"October 07, 2018",2017,R,3 Seasons,Sci-Fi & Fantasy,Hindi,8.8,565493,62.41,1135,86,24,55,2017,10,Q4,54.986784140969164,Sci-Fi & Fantasy TV Show Hindi,Hustle|Stranger Things|The Witcher,Tier 2: Steady (Send In-App Reminder & Recommendation)
s15,TV Show,Narcos,Chris Brancato,"Wagner Moura, Boyd Holbrook",USA/Colombia,"October 13, 2015",2015,PG-13,3 Seasons,Crime,English,8.8,1892871,69.56,1199,159,25,58,2015,10,Q4,58.01501251042536,Crime TV Show English,Mindhunter|Narcos|Ozark S4,Tier 2: Steady (Send In-App Reminder & Recommendation)
s16,TV Show,Wednesday,Tim Burton,"Jenna Ortega, Gwendoline Christie",USA,"March 28, 2024",2022,PG,2 Seasons,Comedy,English,8.1,1044977,119.69,2850,180,17,42,2022,3,Q1,41.99649122807018,Comedy TV Show English,Never Have I Ever|Wednesday|Sex Education,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s17,TV Show,Tiger King,Eric Goode,"Joe Exotic, Carole Baskin",USA,"July 05, 2020",2020,PG,2 Seasons,Documentary,English,7.5,1671110,104.03,2890,90,24,36,2020,7,Q3,35.996539792387544,Documentary TV Show English,Making a Murderer|Daredevil|Sweet Home,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s18,TV Show,Making a Murderer,Laura Ricciardi,Steven Avery,USA,"May 14, 2017",2015,TV-MA,2 Seasons,Documentary,English,8.6,1119633,49.25,1331,169,21,37,2015,5,Q2,37.0022539444027,Documentary TV Show English,Making a Murderer|Daredevil|Sweet Home,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s19,TV Show,Cobra Kai,Josh Heald,"William Zabka, Ralph Macchio",USA,"May 30, 2019",2018,G,6 Seasons,Drama,English,8.5,1584704,83.23,2378,187,71,35,2018,5,Q2,35.0,Drama TV Show English,Cobra Kai|Inventing Anna|The Last Kingdom,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s20,TV Show,Sex Education,Laurie Nunn,"Asa Butterfield, Gillian Anderson",UK,"June 30, 2020",2019,PG-13,4 Seasons,Comedy,English,8.3,341680,44.12,802,161,48,55,2019,6,Q2,55.01246882793018,Comedy TV Show English,Never Have I Ever|Wednesday|Sex Education,Tier 2: Steady (Send In-App Reminder & Recommendation)
s21,TV Show,The Haunting of Hill House,Mike Flanagan,"Michiel Huisman, Carla Gugino",USA,"July 18, 2020",2018,PG-13,2 Seasons,Horror,English,8.6,1607950,105.72,1823,178,12,58,2018,7,Q3,57.992320351069665,Horror TV Show English,Midnight Mass|Archive 81|Army of the Dead,Tier 2: Steady (Send In-App Reminder & Recommendation)
s22,TV Show,Inventing Anna,Shonda Rhimes,"Julia Garner, Anna Chlumsky",USA,"January 01, 2023",2022,PG-13,1 Season,Drama,English,6.8,1287103,105.11,2766,179,10,38,2022,1,Q1,38.00072306579899,Drama TV Show English,Cobra Kai|Inventing Anna|The Last Kingdom,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s23,TV Show,Outer Banks,Jonas Pate,"Chase Stokes, Madelyn Cline",USA,"February 11, 2021",2020,TV-MA,4 Seasons,Action & Adventure,English,7.6,1936220,92.69,2015,185,28,46,2020,2,Q1,46.0,Action & Adventure TV Show English,Extraction|Red Notice|Enola Holmes,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s24,TV Show,Virgin River,Sue Tenney,Alexandra Breckenridge,Canada,"January 02, 2019",2019,G,5 Seasons,Romance,English,7.4,1852813,61.19,1360,142,49,45,2019,1,Q1,44.99264705882353,Romance TV Show English,Virgin River|The Kissing Booth|To All the Boys I've Loved Before,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s25,TV Show,Bling Empire,Jeff Jenkins,"Anna Shay, Kane Lim",USA,"September 22, 2022",2021,TV-MA,3 Seasons,Reality TV,English,6.6,189628,32.7,908,70,25,36,2021,9,Q3,36.01321585903084,Reality TV TV Show English,Marianne|The Gray Man|Bardo,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s26,Movie,Extraction,Sam Hargrave,"Chris Hemsworth, Rudhraksh Jaiswal",USA,"September 22, 2022",2020,TV-MA,93 min,Action & Adventure,English,6.7,279256,48.94,526,82,1,93,2020,9,Q3,93.04182509505704,Action & Adventure Movie English,Red Notice|Enola Holmes|The Old Guard,Tier 2: Steady (Send In-App Reminder & Recommendation)
s27,Movie,Bird Box,Susanne Bier,"Sandra Bullock, Trevante Rhodes",USA,"August 31, 2020",2018,TV-MA,155 min,Thriller,English,6.6,454173,9.93,64,158,1,155,2018,8,Q3,155.15625,Thriller Movie English,You|Persuasion|Athena,Tier 3: Super-Fan (Send VIP Early Access / Preview)
s28,Movie,The Irishman,Martin Scorsese,"Robert De Niro, Al Pacino",USA,"February 16, 2020",2019,R,124 min,Crime,English,7.8,928762,21.15,171,145,1,124,2019,2,Q1,123.6842105263158,Crime Movie English,Maestro|Ozark|Mindhunter,Tier 3: Super-Fan (Send VIP Early Access / Preview)
s29,Movie,Marriage Story,Noah Baumbach,"Adam Driver, Scarlett Johansson",USA,"November 25, 2021",2019,PG,142 min,Drama,English,7.9,719016,7.81,55,66,1,142,2019,11,Q4,142.0,Drama Movie English,The Two Popes|Mank|Munich: The Edge of War,Tier 3: Super-Fan (Send VIP Early Access / Preview)
s30,Movie,The Two Popes,Fernando Meirelles,"Anthony Hopkins, Jonathan Pryce",UK/Argentina,"February 13, 2019",2019,TV-MA,160 min,Drama,English,7.6,25080,28.59,179,106,1,160,2019,2,Q1,159.72067039106145,Drama Movie English,The Two Popes|Mank|Munich: The Edge of War,Tier 3: Super-Fan (Send VIP Early Access / Preview)
s31,Movie,Mank,David Fincher,"Gary Oldman, Amanda Seyfried",USA,"May 25, 2020",2020,G,165 min,Drama,English,7.0,1812786,4.83,29,58,1,165,2020,5,Q2,166.55172413793105,Drama Movie English,The Two Popes|Mank|Munich: The Edge of War,Tier 3: Super-Fan (Send VIP Early Access / Preview)
s32,Movie,Don't Look Up,Adam McKay,"Leonardo DiCaprio, Jennifer Lawrence",USA,"November 08, 2022",2021,PG-13,94 min,Comedy,English,7.2,459287,26.68,284,174,1,94,2021,11,Q4,93.94366197183099,Comedy Movie English,6 Underground|Emily in Paris|Never Have I Ever,Tier 2: Steady (Send In-App Reminder & Recommendation)
s33,Movie,Red Notice,Rawson Marshall Thurber,"Dwayne Johnson, Ryan Reynolds",USA,"September 28, 2021",2021,PG,158 min,Action & Adventure,English,6.3,1703443,29.66,188,171,1,158,2021,9,Q3,157.7659574468085,Action & Adventure Movie English,Red Notice|Enola Holmes|The Old Guard,Tier 3: Super-Fan (Send VIP Early Access / Preview)
s34,Movie,The Power of the Dog,Jane Campion,Benedict Cumberbatch,New Zealand,"April 14, 2023",2021,R,109 min,Drama,Japanese,6.9,898308,6.53,60,140,1,109,2021,4,Q2,108.83333333333333,Drama Movie Japanese,Murder Mystery 2|Marriage Story|The Two Popes,Tier 3: Super-Fan (Send VIP Early Access / Preview)
s35,Movie,Munich: The Edge of War,Christian Schwochow,Jeremy Irons,UK/Germany,"April 22, 2023",2021,G,144 min,Drama,English,6.9,137113,43.46,302,75,1,144,2021,4,Q2,143.90728476821192,Drama Movie English,The Two Popes|Mank|Munich: The Edge of War,Tier 3: Super-Fan (Send VIP Early Access / Preview)
s36,Movie,Enola Holmes,Harry Bradbeer,"Millie Bobby Brown, Henry Cavill",UK,"April 04, 2022",2020,G,128 min,Action & Adventure,English,6.6,411793,40.43,316,113,1,128,2020,4,Q2,127.94303797468355,Action & Adventure Movie English,Red Notice|Enola Holmes|The Old Guard,Tier 3: Super-Fan (Send VIP Early Access / Preview)
s37,Movie,Army of the Dead,Zack Snyder,Dave Bautista,USA,"January 25, 2022",2021,TV-14,153 min,Horror,English,5.7,594151,23.53,154,96,1,153,2021,1,Q1,152.7922077922078,Horror Movie English,Extraction 2|The Haunting of Hill House|Midnight Mass,Tier 3: Super-Fan (Send VIP Early Access / Preview)
s38,Movie,The Kissing Booth,Vince Marcello,"Joey King, Jacob Elordi",USA,"August 05, 2020",2018,G,116 min,Romance,English,5.9,1704545,43.98,379,163,1,116,2018,8,Q3,116.04221635883906,Romance Movie English,To All the Boys I've Loved Before|Bridgerton|Virgin River,Tier 3: Super-Fan (Send VIP Early Access / Preview)
s39,Movie,To All the Boys I've Loved Before,Susan Johnson,"Lana Condor, Noah Centineo",USA,"July 20, 2018",2018,TV-MA,91 min,Romance,English,6.8,205586,33.3,366,53,1,91,2018,7,Q3,90.98360655737704,Romance Movie English,To All the Boys I've Loved Before|Bridgerton|Virgin River,Tier 2: Steady (Send In-App Reminder & Recommendation)
s40,Movie,The Old Guard,Gina Prince-Bythewood,Charlize Theron,USA,"April 29, 2021",2020,TV-14,106 min,Action & Adventure,English,6.6,1823303,21.51,203,104,1,106,2020,4,Q2,105.96059113300493,Action & Adventure Movie English,Red Notice|Enola Holmes|The Old Guard,Tier 3: Super-Fan (Send VIP Early Access / Preview)
s41,Movie,"Tick, Tick... Boom!",Lin-Manuel Miranda,Andrew Garfield,USA,"April 02, 2023",2021,G,92 min,Musical,English,7.6,566171,9.9,108,149,1,92,2021,4,Q2,91.66666666666667,Musical Movie English,Hellbound|Leave the World Behind|Dolemite Is My Name,Tier 2: Steady (Send In-App Reminder & Recommendation)
s42,Movie,The Harder They Fall,Jeymes Samuel,"Idris Elba, Regina King",USA,"July 21, 2023",2021,R,121 min,Action & Adventure,English,6.6,334632,22.3,184,174,1,121,2021,7,Q3,121.19565217391305,Action & Adventure Movie English,Red Notice|Enola Holmes|The Old Guard,Tier 3: Super-Fan (Send VIP Early Access / Preview)
s43,Movie,Malcolm & Marie,Sam Levinson,"John David Washington, Zendaya",USA,"January 24, 2022",2021,G,122 min,Drama,English,6.1,137837,12.45,102,188,1,122,2021,1,Q1,122.05882352941177,Drama Movie English,The Two Popes|Mank|Munich: The Edge of War,Tier 3: Super-Fan (Send VIP Early Access / Preview)
s44,Movie,Pieces of a Woman,Kornél Mundruczó,"Vanessa Kirby, Shia LaBeouf",USA/Hungary,"October 04, 2021",2020,TV-14,92 min,Drama,English,7.0,1938094,4.41,48,178,1,92,2020,10,Q4,91.875,Drama Movie English,The Two Popes|Mank|Munich: The Edge of War,Tier 2: Steady (Send In-App Reminder & Recommendation)
s45,TV Show,Midnight Mass,Mike Flanagan,"Zach Gilford, Kate Siegel",USA,"December 24, 2023",2021,G,1 Season,Horror,English,7.7,153699,115.49,3208,97,7,36,2021,12,Q4,36.000623441396506,Horror TV Show English,Midnight Mass|Archive 81|Army of the Dead,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s46,TV Show,Ozark S4,Bill Dubuque,"Jason Bateman, Laura Linney",USA,"May 20, 2022",2022,TV-MA,1 Season,Crime,English,8.5,1224081,51.43,1225,113,11,42,2022,5,Q2,41.98367346938775,Crime TV Show English,Mindhunter|Narcos|Ozark S4,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s47,TV Show,Archive 81,Rebecca Sonnenshine,"Mamoudou Athie, Dina Shihabi",USA,"March 23, 2022",2022,TV-MA,1 Season,Horror,English,7.2,673475,53.21,1438,183,10,37,2022,3,Q1,37.00278164116829,Horror TV Show English,Midnight Mass|Archive 81|Army of the Dead,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s48,TV Show,Invincible,Robert Kirkman,Steven Yeun,USA,"June 19, 2022",2021,PG,2 Seasons,Sci-Fi & Fantasy,English,8.7,840023,87.36,1560,117,15,56,2021,6,Q2,56.0,Sci-Fi & Fantasy TV Show English,The Witcher|The Umbrella Academy|Invincible,Tier 2: Steady (Send In-App Reminder & Recommendation)
s49,TV Show,The Last Kingdom,Stephen Butchard,Alexander Dreymon,UK,"September 26, 2015",2015,PG-13,5 Seasons,Drama,English,8.5,29535,39.5,718,68,51,55,2015,9,Q3,55.013927576601674,Drama TV Show English,Cobra Kai|Inventing Anna|The Last Kingdom,Tier 2: Steady (Send In-App Reminder & Recommendation)
